Metrics,Country,Product line,Product type,Retailer type,Actual,Target,Tolerance
Sales revenue,Germany,Sunscreen,Sun Shelter 15,Department Store,"13,387.35","39,390",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 30,Department Store,"27,314.10","39,390",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter Stick,Department Store,"4,934.40","39,390",0.05
Sales revenue,Germany,Sunscreen,Sun Shield,Department Store,"16,048.08","39,390",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion,Department Store,"19,726.42","15,925",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion Lite,Department Store,"9,913.40","15,925",0.05
Sales revenue,Japan,Insect Repellents,BugShield Spray,Direct Marketing,"14,263.44","8,450",0.05
Sales revenue,Japan,Sunscreen,Sun Blocker,Sports Store,"8,642.70","12,090",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 15,Department Store,"13,798.45","32,500",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 30,Department Store,"27,425.70","32,500",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter Stick,Sports Store,"10,708.80","12,090",0.05
Sales revenue,Japan,Sunscreen,Sun Shield,Department Store,"16,535.22","32,500",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Extreme,Department Store,"27,166.23","28,535",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion,Department Store,"13,193.60","28,535",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion Lite,Department Store,"7,371.84","28,535",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Spray,Direct Marketing,"11,701.56","6,565",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Blocker,Sports Store,"9,156.80","12,870",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 15,Department Store,"16,154.10","38,285",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 30,Department Store,"27,872.10","38,285",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter Stick,Sports Store,"11,884.80","12,870",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shield,Department Store,"16,611.66","38,285",0.05
Sales revenue,United States,Insect Repellents,BugShield Extreme,Department Store,"35,954.73","76,830",0.05
Sales revenue,United States,Insect Repellents,BugShield Extreme,Sports Store,"38,864.70","19,825",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion,Department Store,"42,810.74","76,830",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion Lite,Department Store,"21,584.29","76,830",0.05
Sales revenue,United States,Insect Repellents,BugShield Natural,Department Store,"13,175.04","76,830",0.05
Sales revenue,United States,Insect Repellents,BugShield Spray,Department Store,"14,471.16","76,830",0.05
Sales revenue,United States,Insect Repellents,BugShield Spray,Direct Marketing,"16,843.45","8,645",0.05
Sales revenue,United States,Sunscreen,Sun Blocker,Sports Store,"18,292.35","11,245",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 15,Department Store,"28,928.65","73,905",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 30,Department Store,"58,329.60","73,905",0.05
Sales revenue,United States,Sunscreen,Sun Shelter Stick,Department Store,"5,740.80","73,905",0.05
Sales revenue,United States,Sunscreen,Sun Shield,Department Store,"34,680.42","73,905",0.05
Sales revenue,Canada,Insect Repellents,BugShield Extreme,Department Store,"23,833.11","24,765",0.05
Sales revenue,Canada,Insect Repellents,BugShield Extreme,Sports Store,"21,307.23","14,105",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion,Department Store,"6,948.48","24,765",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion,Sports Store,"6,287.54","14,105",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,"6,783.21","24,765",0.05
Sales revenue,Canada,Insect Repellents,BugShield Natural,Warehouse Store,"19,020.90","13,130",0.05
Sales revenue,Canada,Insect Repellents,BugShield Spray,Direct Marketing,"11,480.70","6,435",0.05
Sales revenue,Canada,Sunscreen,Sun Blocker,Sports Store,"3,307.70","2,145",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 15,Warehouse Store,"9,219.85","8,450",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter Stick,Warehouse Store,"7,163.45","8,450",0.05
Sales revenue,Canada,Sunscreen,Sun Shield,Department Store,"11,759.40","8,255",0.05
Sales revenue,China,Insect Repellents,BugShield Extreme,Sports Store,"53,303.88","40,755",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion,Sports Store,"15,239.28","40,755",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion Lite,Sports Store,"7,943.04","40,755",0.05
Sales revenue,China,Insect Repellents,BugShield Natural,Warehouse Store,"21,996.36","15,015",0.05
Sales revenue,China,Insect Repellents,BugShield Spray,Direct Marketing,"13,215.35","8,125",0.05
Sales revenue,China,Sunscreen,Sun Shelter 15,Warehouse Store,"11,727.30","11,570",0.05
Sales revenue,China,Sunscreen,Sun Shelter Stick,Warehouse Store,"9,310","11,570",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Department Store,"21,281.19","17,680",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Sports Store,"28,668.99","23,270",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Department Store,"6,216","17,680",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Sports Store,"8,453.48","23,270",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion Lite,Sports Store,"1,155","23,270",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion Lite,Warehouse Store,"6,559","16,965",0.05
Sales revenue,France,Insect Repellents,BugShield Natural,Warehouse Store,"21,024.90","16,965",0.05
Sales revenue,France,Insect Repellents,BugShield Spray,Direct Marketing,"12,773.91","8,125",0.05
Sales revenue,France,Sunscreen,Sun Blocker,Department Store,"1,705","4,225",0.05
Sales revenue,France,Sunscreen,Sun Shelter 15,Warehouse Store,"14,534.20","22,100",0.05
Sales revenue,France,Sunscreen,Sun Shelter 30,Department Store,"4,867.20","4,225",0.05
Sales revenue,France,Sunscreen,Sun Shelter 30,Sports Store,"11,707.70","8,190",0.05
Sales revenue,France,Sunscreen,Sun Shelter Stick,Warehouse Store,"11,342.55","22,100",0.05
Sales revenue,France,Sunscreen,Sun Shield,Sports Store,"3,061.32","8,190",0.05
Sales revenue,France,Sunscreen,Sun Shield,Warehouse Store,"8,547.84","22,100",0.05
Sales revenue,Germany,Insect Repellents,BugShield Extreme,Department Store,"40,342.47","32,110",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion,Department Store,"11,650.80","32,110",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion Lite,Department Store,"3,401.79","32,110",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion Lite,Sports Store,"2,751","2,015",0.05
Sales revenue,Germany,Insect Repellents,BugShield Natural,Warehouse Store,"16,645.14","9,880",0.05
Sales revenue,Germany,Insect Repellents,BugShield Spray,Direct Marketing,"10,319.10","5,655",0.05
Sales revenue,Germany,Sunscreen,Sun Blocker,Department Store,"3,365.90","10,855",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 15,Warehouse Store,"11,002.70","18,395",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 30,Department Store,"9,696.10","10,855",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 30,Sports Store,"13,443.15","5,655",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter Stick,Warehouse Store,"8,645","18,395",0.05
Sales revenue,Germany,Sunscreen,Sun Shield,Department Store,"6,163.20","10,855",0.05
Sales revenue,Germany,Sunscreen,Sun Shield,Warehouse Store,"8,640","18,395",0.05
Sales revenue,Japan,Insect Repellents,BugShield Extreme,Sports Store,"54,905.34","44,265",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion,Sports Store,"16,027.20","44,265",0.05
Sales revenue,Japan,Insect Repellents,BugShield Spray,Direct Marketing,"13,899.93","8,320",0.05
Sales revenue,Japan,Sunscreen,Sun Blocker,Sports Store,"4,583.25","18,590",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 15,Direct Marketing,"5,380.80","2,795",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 30,Sports Store,"11,153.10","18,590",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter Stick,Sports Store,"4,953.60","18,590",0.05
Sales revenue,Japan,Sunscreen,Sun Shield,Department Store,"7,090.56","4,355",0.05
Sales revenue,Japan,Sunscreen,Sun Shield,Sports Store,"8,392.32","18,590",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Extreme,Sports Store,"36,618.75","28,405",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion,Sports Store,"11,189.92","28,405",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion Lite,Department Store,"2,709","4,875",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion Lite,Warehouse Store,"3,108","6,500",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Natural,Department Store,"7,159.68","4,875",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Natural,Warehouse Store,"6,952.32","6,500",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Spray,Direct Marketing,"8,436.01","5,200",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 15,Direct Marketing,"5,280","2,600",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 15,Warehouse Store,"5,548.80","5,265",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter Stick,Department Store,"4,107.95","11,245",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter Stick,Warehouse Store,"4,622.05","5,265",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shield,Department Store,"14,547.06","11,245",0.05
Sales revenue,United States,Insect Repellents,BugShield Extreme,Department Store,"60,901.05","44,460",0.05
Sales revenue,United States,Insect Repellents,BugShield Extreme,Sports Store,"66,069.99","50,180",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion,Department Store,"7,049.28","44,460",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion,Sports Store,"29,913.17","50,180",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion Lite,Department Store,"15,255.45","44,460",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion Lite,Sports Store,"3,632.65","50,180",0.05
Sales revenue,United States,Insect Repellents,BugShield Natural,Warehouse Store,"52,753.68","31,265",0.05
Sales revenue,United States,Insect Repellents,BugShield Spray,Direct Marketing,"16,727.23","9,490",0.05
Sales revenue,United States,Insect Repellents,BugShield Spray,Warehouse Store,"6,116.20","31,265",0.05
Sales revenue,United States,Sunscreen,Sun Blocker,Department Store,"4,670.55","18,980",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 15,Warehouse Store,"25,850.25","26,975",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 30,Department Store,"13,308.30","18,980",0.05
Sales revenue,United States,Sunscreen,Sun Shelter Stick,Warehouse Store,"20,252.05","26,975",0.05
Sales revenue,United States,Sunscreen,Sun Shield,Department Store,"18,961.74","18,980",0.05
Sales revenue,United States,Sunscreen,Sun Shield,Sports Store,"8,709.60","5,980",0.05
Sales revenue,Canada,Insect Repellents,BugShield Extreme,Sports Store,"23,455.53","14,235",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion,Department Store,"13,324.50","17,355",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,"6,450.50","17,355",0.05
Sales revenue,Canada,Insect Repellents,BugShield Spray,Department Store,"11,140.21","17,355",0.05
Sales revenue,Canada,Sunscreen,Sun Blocker,Department Store,"6,144","16,900",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 15,Department Store,"9,841.80","16,900",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 30,Direct Marketing,"17,294.75","11,050",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter Stick,Warehouse Store,"8,186.80","5,135",0.05
Sales revenue,Canada,Sunscreen,Sun Shield,Department Store,"11,640.96","16,900",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion,Sports Store,"14,581.28","20,345",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion Lite,Sports Store,"7,002.24","20,345",0.05
Sales revenue,China,Insect Repellents,BugShield Spray,Sports Store,"12,079.70","20,345",0.05
Sales revenue,China,Sunscreen,Sun Blocker,Sports Store,"7,462.25","19,565",0.05
Sales revenue,China,Sunscreen,Sun Shelter 15,Sports Store,"11,950.50","19,565",0.05
Sales revenue,China,Sunscreen,Sun Shelter 30,Direct Marketing,"20,794.80","10,530",0.05
Sales revenue,China,Sunscreen,Sun Shelter Stick,Warehouse Store,"9,738.40","6,175",0.05
Sales revenue,China,Sunscreen,Sun Shield,Sports Store,"14,134.14","19,565",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Department Store,"7,176.96","21,255",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Sports Store,"19,647.18","14,170",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Department Store,"11,810.54","21,255",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Sports Store,"2,121","14,170",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion Lite,Department Store,"6,693.96","21,255",0.05
Sales revenue,France,Insect Repellents,BugShield Natural,Sports Store,"2,664","14,170",0.05
Sales revenue,France,Insect Repellents,BugShield Spray,Department Store,"11,543.91","21,255",0.05
Sales revenue,France,Sunscreen,Sun Blocker,Department Store,"9,070.35","25,025",0.05
Sales revenue,France,Sunscreen,Sun Shelter 15,Department Store,"14,648.10","25,025",0.05
Sales revenue,France,Sunscreen,Sun Shelter 30,Direct Marketing,"25,147.60","14,885",0.05
Sales revenue,France,Sunscreen,Sun Shelter Stick,Warehouse Store,"11,971.05","8,320",0.05
Sales revenue,France,Sunscreen,Sun Shield,Department Store,"17,325","25,025",0.05
Sales revenue,Germany,Insect Repellents,BugShield Extreme,Department Store,"20,037.78","34,060",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion,Department Store,"11,617.55","34,060",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion Lite,Department Store,"5,574.59","34,060",0.05
Sales revenue,Germany,Insect Repellents,BugShield Natural,Department Store,"7,372.80","34,060",0.05
Sales revenue,Germany,Insect Repellents,BugShield Spray,Department Store,"9,621.35","34,060",0.05
Sales revenue,Germany,Sunscreen,Sun Blocker,Department Store,"7,172.50","18,785",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 15,Department Store,"11,609","18,785",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 30,Direct Marketing,"20,200.60","11,375",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter Stick,Warehouse Store,"9,462","6,240",0.05
Sales revenue,Germany,Sunscreen,Sun Shield,Department Store,"13,733.40","18,785",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion,Department Store,"15,563.52","19,825",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion Lite,Department Store,"7,497.21","19,825",0.05
Sales revenue,Japan,Insect Repellents,BugShield Natural,Sports Store,"10,641.90","5,915",0.05
Sales revenue,Japan,Insect Repellents,BugShield Spray,Department Store,"12,890.18","19,825",0.05
Sales revenue,Japan,Sunscreen,Sun Blocker,Department Store,"7,507.80","18,915",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 15,Department Store,"12,153.60","18,915",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 30,Direct Marketing,"20,801.50","11,245",0.05
Sales revenue,Japan,Sunscreen,Sun Shield,Department Store,"14,376.96","18,915",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Extreme,Department Store,"23,117.01","29,250",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Extreme,Sports Store,"19,562.55","10,465",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion,Department Store,"12,734.75","29,250",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion Lite,Department Store,"6,450.50","29,250",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Spray,Department Store,"9,752.68","29,250",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Blocker,Department Store,"7,880.25","28,860",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 15,Department Store,"13,559.40","28,860",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 30,Direct Marketing,"24,630","16,055",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter Stick,Department Store,"6,086.40","28,860",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter Stick,Warehouse Store,"4,355.30","2,795",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shield,Department Store,"16,539.12","28,860",0.05
Sales revenue,United States,Insect Repellents,BugShield Extreme,Department Store,"32,784.36","76,375",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion,Department Store,"35,253.54","76,375",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion Lite,Department Store,"17,003","76,375",0.05
Sales revenue,United States,Insect Repellents,BugShield Natural,Department Store,"11,815.80","76,375",0.05
Sales revenue,United States,Insect Repellents,BugShield Natural,Sports Store,"20,724.60","12,090",0.05
Sales revenue,United States,Insect Repellents,BugShield Spray,Department Store,"29,207.86","76,375",0.05
Sales revenue,United States,Sunscreen,Sun Blocker,Department Store,"16,475.90","58,955",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 15,Department Store,"26,527.20","58,955",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 30,Department Store,"21,491.90","58,955",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 30,Direct Marketing,"24,175.35","13,260",0.05
Sales revenue,United States,Sunscreen,Sun Shelter Stick,Warehouse Store,"21,557.20","12,870",0.05
Sales revenue,United States,Sunscreen,Sun Shield,Department Store,"31,379.76","58,955",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion,Direct Marketing,"13,614.72","8,320",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,"6,975.36","3,575",0.05
Sales revenue,Canada,Insect Repellents,BugShield Natural,Sports Store,"10,550.70","14,495",0.05
Sales revenue,Canada,Insect Repellents,BugShield Spray,Sports Store,"12,653.61","14,495",0.05
Sales revenue,Canada,Sunscreen,Sun Blocker,Sports Store,"3,356.20","6,565",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 15,Department Store,"10,532.70","15,470",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter Stick,Sports Store,"8,186.80","6,565",0.05
Sales revenue,Canada,Sunscreen,Sun Shield,Department Store,"14,095.08","15,470",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion,Direct Marketing,"14,028.56","7,735",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion Lite,Sports Store,"7,344.96","4,030",0.05
