Regions,Existing Stores Revenue,Store Type,Budget Version,Retailers,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Sports Store,9334061.14,7385812.14,7580284.08,7121449.48,7537970.65,5998214.92,8601059.12,5907022.95,4627335.91,7184228.12,5672831.99,6173595.71
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Warehouse Store,1351432.94,1557438.73,1133032.25,2375801.31,2486008.32,1318908.33,2519997.54,3168349.05,754262.7,2400927.65,2562039.82,2217447.74
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Department Store,5032525.71,6451847.62,3373651.73,4488839.48,5705302.1,5314845.66,5668241.18,7551036.28,6099156.73,4598159.37,4759484.53,4912706.35
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Direct Marketing,100670.44,418678.36,152915.85,641896.35,192229.39,855505.27,516619.81,475720.96,181666.24,69845.01,754521.98,98203.47
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Equipment Rental Store,610244.01,290716.11,490860.36,1042007.9,78582.52,182278.61,1815303.05,517415.52,542404.64,369725.68,499561.98,319608.99
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Eyewear Store,587830.87,711061.9,428657.07,942640.23,489346.49,778999.87,617632.66,418865.08,812491.15,882059.57,240056.04,634764.94
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Golf Shop,2160764.09,2545094.41,2534999.26,3540700.12,1715507.22,3894848.85,2315961.93,1879414.75,2870265.67,2585874.1,3104582.42,2163037.24
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Outdoors Shop,6848223.32,9928426.29,7518916.2,10193046.71,9756074.07,13172151.7,6898550.79,10202435.57,11463969.32,10163418.36,8953314.53,11671553.71
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Sports Store,10659497.82,8434597.46,8656684.42,8132695.31,8608362.48,6849961.44,9822409.52,6745820.21,5284417.61,8204388.51,6478374.13,7050246.3
Americas,Existing Stores Revenue,Corporate Store,Budget version 2,Warehouse Store,1513604.89,1744331.38,1268996.12,2660897.47,2784329.32,1477177.33,2822397.24,3548550.94,844774.22,2689038.97,2869484.6,2483541.47
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Department Store,34.7150589,41.50979555,33.28458665,30.97235725,39.35841068,36.66646751,39.10823009,42.09038274,42.08037551,31.72289902,32.83370085,33.89446656
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Direct Marketing,33.44676477,33.32453407,33.22452713,39.7805375,33.44676477,43.01478895,32.013332,40.59170489,33.48010042,34.33571533,46.75879939,39.42495728
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Equipment Rental Store,42.28255303,40.70404036,40.14813325,41.16324928,44.18486317,44.06880835,45.01,41.40284845,42.57661428,44.42771127,40.55288009,42.06668805
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Eyewear Store,25.03827776,30.28823923,29.269453,40.14568436,30.02206986,33.17938934,26.30487686,27.93860613,34.60201876,37.5665949,28.58108393,27.0391372
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Golf Shop,30.37422348,35.77896056,35.62938296,39.78,34.08374782,34.80172027,32.55805636,36.38724277,40.3460631,36.34735541,43.63677018,30.404139
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Outdoors Shop,33.84774368,39,37.1643372,50.38448701,48.22350098,41.99477656,34.10197733,47.22493463,47.68717763,45.95988913,44.25976726,51.92144498
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Sports Store,39.85124397,38.79503446,39.82369068,37.40818545,39.59407992,31.51178107,36.91222621,31.03419068,27.0665167,37.73882495,29.80347699,32.43022412
Americas,GROSS MARGIN %,Franchise Store,Budget version 1,Warehouse Store,31.67769472,35.0274754,37.8060507,38.66769949,40.45876719,31.14521514,41.02029112,41.89162135,31.63896894,39.07432026,41.69799241,36.09243458
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Department Store,39.10906853,46.76383939,37.49753627,34.8926397,44.34014602,41.30747394,44.05829917,47.41791359,47.40663972,35.73818024,36.98958024,38.18461087
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Direct Marketing,26.62083022,26.52354479,26.44394762,31.66198411,26.62083022,34.23617803,25.47993749,32.30760557,26.64736261,27.32836059,37.21609752,31.37897196
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Equipment Rental Store,33.11759626,31.88123418,31.44582274,32.24090724,34.60757107,34.51667172,35.25385533,32.42857208,33.34791825,34.79778062,31.76283866,32.9485211
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Eyewear Store,25.98732475,31.43627994,30.3788778,41.66736014,31.16002173,34.43701576,27.30193282,28.99758671,35.9135683,38.99051328,29.66441689,28.06402446
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Golf Shop,33.29713585,39.22197093,39.05799947,43.60803051,37.36362782,38.15069078,35.69111903,39.88878816,44.22856588,39.84506244,47.83593778,33.32993014
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Outdoors Shop,33.68844938,38.81645814,36.98943434,50.14736746,47.99655147,41.79714067,33.94148655,47.00268457,47.46275216,45.74359263,44.05147187,51.6770922
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Sports Store,45.94534059,44.72761435,45.91357382,43.12868684,45.64885072,36.33059773,42.55688496,35.77997369,31.20555859,43.5098881,34.3610579,37.38949012
Americas,GROSS MARGIN %,Franchise Store,Budget version 2,Warehouse Store,32.01838828,35.40419584,38.21265471,39.08357053,40.89390116,31.48018187,41.46146428,42.34216567,31.97924599,39.49456451,42.14645425,36.48060865
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Department Store,34.68805633,41.47750779,33.25869675,30.94826588,39.32779635,36.63794707,39.07781036,42.05764339,42.04764395,31.69822386,32.80816166,33.86810227
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Direct Marketing,27.68740448,27.58622127,27.50343501,32.93053423,27.68740448,43.88591587,26.50080143,33.60202278,27.7149999,28.42328234,38.70717543,32.63618309
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Equipment Rental Store,26.62187504,25.62801436,31.57418939,30.95408828,27.81960458,30.89462653,36.94273598,32.36418121,33.10320582,27.97250623,31.82902546,26.48596247
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Eyewear Store,25.25397903,30.54916818,29.52160525,40.49153382,30.28070579,33.46522514,26.5314897,28.17929331,34.90011031,37.89022586,28.82730597,27.27207559
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Golf Shop,31.54819647,37.16182827,37.00646946,51.693056,35.40109505,36.14681736,33.81643515,37.79362078,41.90545072,37.75219177,45.32334463,31.57926823
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Outdoors Shop,31.6750795,45.92832456,34.77878309,47.15034026,45.12806649,39.29915975,31.91299406,44.19359745,44.62616938,43.00975438,41.4187622,48.58864192
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Sports Store,45.48723098,44.28164638,45.45578094,42.69866139,45.19369733,35.96835434,42.1325608,35.42322043,30.89441569,43.07606178,34.0184523,37.01668877
Americas,GROSS MARGIN %,Corporate Store,Budget version 1,Warehouse Store,31.04554397,34.3284774,37.05160427,37.89605825,39.65138393,30.52369038,40.20170226,41.05564448,31.00759098,38.29456462,40.86587954,35.37218457
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Department Store,35.61776576,42.58918814,34.15009648,31.77774143,40.38186012,37.61991749,40.125174,43.18487253,43.17460508,32.54779979,33.68748615,34.7758353
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Direct Marketing,25.45315857,25.36014038,25.28403459,30.27319192,25.45315857,40.34452476,24.36230892,30.89049444,25.47852716,26.12965448,35.5836848,30.00259355
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Equipment Rental Store,26.62187504,25.62801436,31.57418939,30.95408828,27.81960458,30.89462653,36.94273598,32.36418121,33.10320582,27.97250623,31.82902546,26.48596247
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Eyewear Store,25.25397903,30.54916818,29.52160525,40.49153382,30.28070579,33.46522514,26.5314897,28.17929331,34.90011031,37.89022586,28.82730597,27.27207559
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Golf Shop,31.54819647,37.16182828,37.00646946,51.693056,35.40109505,36.14681736,33.81643515,37.79362079,41.90545073,37.75219177,45.32334463,31.57926823
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Outdoors Shop,32.35380745,46.9124685,35.52401664,48.16066933,46.09506264,40.14125512,32.59682,45.14056997,45.58241097,43.93135972,42.30627604,49.62979066
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Sports Store,45.48723098,44.28164638,45.45578094,42.69866139,45.19369733,35.96835434,42.1325608,35.42322043,30.89441569,43.07606178,34.0184523,37.01668877
Americas,GROSS MARGIN %,Corporate Store,Budget version 2,Warehouse Store,31.04554396,34.3284774,37.05160427,37.89605825,39.65138393,30.52369038,40.20170225,41.05564448,31.00759098,38.29456462,40.86587954,35.37218456
Americas,Returns and Allowances,Franchise Store,Budget version 1,Department Store,109794.3508,140759.6229,73602.78373,97932.77671,124472.2782,115953.7105,123663.722,164740.5646,133064.9841,100317.803,1151035.583,1151035.583
Americas,Returns and Allowances,Franchise Store,Budget version 1,Direct Marketing,2219.85372,9232.151158,3371.901688,14154.26436,4238.792674,18864.49075,11391.82894,10489.98064,4005.867911,1540.131518,46041.42333,46041.42333
Americas,Returns and Allowances,Franchise Store,Budget version 1,Equipment Rental Store,13396.50229,6382.002886,10775.70911,22874.88434,1725.098335,4001.507199,39850.79911,11358.66659,11907.24516,8116.476121,68998.61317,68998.61317
Americas,Returns and Allowances,Franchise Store,Budget version 1,Eyewear Store,12962.08263,15679.41332,9452.188892,20785.87765,10790.43308,17177.49313,13619.23296,9236.268606,17915.99936,19450.03176,8560.627637,8560.627637
Americas,Returns and Allowances,Franchise Store,Budget version 1,Golf Shop,47016.67498,55379.4267,55159.76337,77043.09205,37328.20528,84749.11403,50393.66841,40894.71541,62454.91975,56266.76341,125937.7917,87743.88819
Americas,Returns and Allowances,Franchise Store,Budget version 1,Outdoors Shop,151008.1238,218928.7579,165797.3719,224763.8236,215128.2707,290455.1765,152117.8797,224970.8545,252788.5578,224110.4978,429670.9208,429670.9208
Americas,Returns and Allowances,Franchise Store,Budget version 1,Sports Store,230521.3006,182405.814,187208.6457,175876.9063,186163.64,148136.6239,212418.5073,145884.4754,114280.3198,177427.3368,46928.48808,46928.48808
Americas,Returns and Allowances,Franchise Store,Budget version 1,Warehouse Store,33376.04868,38463.72937,27982.25381,58674.65401,61396.41284,32572.79538,62235.83729,78248.0351,18627.86369,59295.19383,123330.777,123330.777
Americas,Returns and Allowances,Franchise Store,Budget version 2,Department Store,119875.1019,153683.4455,80360.61174,106924.4592,135900.6808,126599.9822,135017.8872,179866.1936,145282.3247,109528.4663,1256717.734,1256717.734
Americas,Returns and Allowances,Franchise Store,Budget version 2,Direct Marketing,2423.669241,10079.79966,3681.492311,15453.83591,4627.976757,20596.531,12437.76792,11453.11656,4373.666043,1681.538451,50268.70937,50268.70937
Americas,Returns and Allowances,Franchise Store,Budget version 2,Equipment Rental Store,14626.50004,6967.965477,11765.07914,24975.13825,1883.487968,4368.904953,43509.69396,12401.56078,13000.507,8861.689099,75333.70999,75333.70999
Americas,Returns and Allowances,Franchise Store,Budget version 2,Eyewear Store,14152.19421,17119.01619,10320.04013,22694.32973,11781.155,18754.64196,14869.68069,10084.29516,19560.95403,21235.83337,9346.620317,9346.620317
Americas,Returns and Allowances,Franchise Store,Budget version 2,Golf Shop,51333.5036,60464.08005,60224.24837,84116.79143,40755.48858,92530.3406,55020.55514,44649.45727,68189.20839,61432.88745,137500.7502,95800.07948
Americas,Returns and Allowances,Franchise Store,Budget version 2,Outdoors Shop,164872.9109,239029.6674,181020.0315,245400.4787,234880.239,317123.2728,166084.5589,245626.5181,275998.2995,244687.1679,469121.0888,469121.0888
Americas,Returns and Allowances,Franchise Store,Budget version 2,Sports Store,251686.5775,199153.3751,204397.1781,192025.0167,203256.2253,161737.7647,231921.6792,159278.8356,124772.9494,193717.7999,51237.21984,51237.21984
Americas,Returns and Allowances,Franchise Store,Budget version 2,Warehouse Store,36440.46534,41995.27063,30551.44004,64061.85814,67033.51482,35563.46146,67950.0109,85432.36613,20338.17806,64739.37272,134654.3729,134654.3729
Americas,Returns and Allowances,Corporate Store,Budget version 1,Department Store,57744.44593,74030.09689,38710.11516,51506.05551,65464.04875,60983.85494,65038.80256,86642.45974,69983.23431,52760.41898,54611.50378,56369.60894
Americas,Returns and Allowances,Corporate Store,Budget version 1,Direct Marketing,1167.493793,4855.490735,1773.39356,7444.191313,2229.319928,9921.453677,5991.336031,5517.024467,2106.817165,810.0056192,8750.331709,1138.883906
Americas,Returns and Allowances,Corporate Store,Budget version 1,Equipment Rental Store,7045.659418,3356.50439,5667.298427,12030.65105,907.2857281,2104.523724,20958.84075,5973.894865,6262.410306,4268.720685,5767.764181,3690.091264
Americas,Returns and Allowances,Corporate Store,Budget version 1,Eyewear Store,6817.183888,8246.317118,4971.215788,10931.97399,5675.042249,9034.206365,7162.800775,4857.656236,9422.610985,10229.40888,2783.974533,7361.48703
Americas,Returns and Allowances,Corporate Store,Budget version 1,Golf Shop,24727.60962,29125.85471,29010.32657,40519.48601,19632.12601,44572.33541,26503.68109,21507.87053,32847.0883,29592.53416,35528.5903,24753.6233
Americas,Returns and Allowances,Corporate Store,Budget version 1,Outdoors Shop,79420.11926,115141.8058,87198.26932,118210.658,113143.0051,152759.8925,80003.77627,118319.5423,132949.7838,117867.0526,103833.2534,135357.1786
Americas,Returns and Allowances,Corporate Store,Budget version 1,Sports Store,121238.7038,95933.19313,98459.15965,92499.42666,97909.55693,77909.9034,111717.8518,76725.42474,60103.76396,93314.84889,73683.5539,80187.89787
Americas,Returns and Allowances,Corporate Store,Budget version 1,Warehouse Store,17553.55739,20229.33533,14716.78396,30858.9227,32290.38483,17131.10016,32731.86565,41153.20503,9797.003755,31185.28492,33277.94645,28802.09221
Americas,Returns and Allowances,Corporate Store,Budget version 2,Department Store,61249.03573,78523.08524,41059.48526,54632.02882,69437.15187,64685.04893,68986.0969,91900.90974,74230.61301,55962.52134,57925.95102,59790.758
Americas,Returns and Allowances,Corporate Store,Budget version 2,Direct Marketing,1238.350596,5150.177143,1881.023253,7895.989518,2364.62042,10523.60034,6354.958451,5851.860267,2234.682795,859.1659738,9281.40137,1208.004336
Americas,Returns and Allowances,Corporate Store,Budget version 2,Equipment Rental Store,7473.270174,3560.215255,6011.25456,12760.8078,962.3501462,2232.250162,22230.8616,6336.458757,6642.484597,4527.795211,6117.817719,3914.047976
Americas,Returns and Allowances,Corporate Store,Budget version 2,Eyewear Store,7230.92815,8746.79744,5272.925709,11595.45052,6019.468365,9582.504769,7597.521001,5152.474071,9994.4822,10850.24577,2952.937774,7808.265798
Americas,Returns and Allowances,Corporate Store,Budget version 2,Golf Shop,26228.36224,30893.54287,30771.00317,42978.66932,20823.62673,47277.49173,28112.22593,22813.21276,34840.62324,31388.54574,37684.86929,26255.95472
Americas,Returns and Allowances,Corporate Store,Budget version 2,Outdoors Shop,84240.23548,122129.9203,92490.45216,125385.0253,120009.8096,162031.1004,84859.31544,125500.518,141018.689,125020.566,110135.0363,143572.1919
Americas,Returns and Allowances,Corporate Store,Budget version 2,Sports Store,128596.8474,101755.5105,104434.7814,98113.34402,103851.8225,82638.36255,118498.1618,81381.99625,63751.54403,98978.25535,78155.51008,85054.61163
Americas,Returns and Allowances,Corporate Store,Budget version 2,Warehouse Store,18618.90692,21457.0815,15609.96581,32731.79314,34250.13268,18170.81018,34718.40758,43650.84962,10391.59738,33077.96273,35297.63077,30550.13078
Americas,Cash Discount,Franchise Store,Budget version 1,Department Store,44053.28892,56477.62646,29531.98113,39294.01535,49942.58075,46524.63693,49618.16006,66099.60925,53390.27141,40250.97035,461835.2649,461835.2649
Americas,Cash Discount,Franchise Store,Budget version 1,Direct Marketing,890.6820484,3704.258181,1352.923517,5679.180144,1700.750147,7569.085795,4570.795562,4208.942851,1607.29268,617.954004,18473.4106,18473.4106
Americas,Cash Discount,Franchise Store,Budget version 1,Equipment Rental Store,5375.139808,2560.680171,4323.586988,9178.194337,692.1690852,1605.543012,15989.51816,4557.489682,4777.598367,3256.61079,27684.62875,27684.62875
Americas,Cash Discount,Franchise Store,Budget version 1,Eyewear Store,5200.835624,6291.12263,3792.544926,8340.012637,4329.494756,6892.204035,5464.507053,3705.910244,7188.518263,7804.02509,3434.819731,3434.819731
Americas,Cash Discount,Franchise Store,Budget version 1,Golf Shop,18864.71527,22220.14035,22132.00382,30912.35175,14977.36632,34004.27415,20219.68177,16408.37347,25059.07274,22576.17051,50530.59544,35205.88107
Americas,Cash Discount,Franchise Store,Budget version 1,Outdoors Shop,60589.6793,87841.78559,66523.63686,90183.01564,86316.89874,116540.6572,61034.95175,90266.0836,101427.5078,89920.87875,172398.8263,172398.8263
Americas,Cash Discount,Franchise Store,Budget version 1,Sports Store,92493.11444,73187.51798,75114.58007,70567.89449,74695.28767,59437.53429,85229.64801,58533.89447,45853.21474,71189.98083,18829.33164,18829.33164
Americas,Cash Discount,Franchise Store,Budget version 1,Warehouse Store,13391.62447,15432.97784,11227.44752,23542.29945,24634.36318,13069.33148,24971.16929,31395.81656,7474.142839,23791.28148,49484.57102,49484.57102
Americas,Cash Discount,Franchise Store,Budget version 2,Department Store,51591.29207,66141.57066,34585.2285,46017.65434,58488.30662,54485.51494,58108.37397,77409.98072,62525.93514,47138.35489,540860.3675,540860.3675
Americas,Cash Discount,Franchise Store,Budget version 2,Direct Marketing,1043.087561,4338.097572,1584.423638,6650.950443,1991.767237,8864.239775,5352.909047,4929.139349,1882.318168,723.6927431,21634.4147,21634.4147
Americas,Cash Discount,Franchise Store,Budget version 2,Equipment Rental Store,6294.885456,2998.840763,5063.400362,10748.68452,810.6068425,1880.269113,18725.5009,5337.326384,5595.098091,3813.852779,32421.77377,32421.77377
Americas,Cash Discount,Franchise Store,Budget version 2,Eyewear Store,6090.755906,7367.603032,4441.491152,9767.080695,5070.319014,8071.536088,6399.544421,4340.03232,8418.552946,9139.379773,4022.555234,4022.555234
Americas,Cash Discount,Franchise Store,Budget version 2,Golf Shop,22092.67592,26022.25119,25919.03354,36201.79575,17540.15872,39822.78014,23679.49211,19216.02697,29346.95621,26439.20204,59176.9371,41229.99524
Americas,Cash Discount,Franchise Store,Budget version 2,Outdoors Shop,70957.24104,102872.483,77906.56413,105614.3233,101086.6712,136482.0478,71478.70452,105711.6051,118782.872,105307.3319,201898.165,201898.165
Americas,Cash Discount,Franchise Store,Budget version 2,Sports Store,108319.7055,85710.70873,87967.51238,82642.8388,87476.47443,69607.95132,99813.3799,68549.68877,53699.20503,83371.37097,22051.23776,22051.23776
Americas,Cash Discount,Franchise Store,Budget version 2,Warehouse Store,15683.07898,18073.73039,13148.5875,27570.64629,28849.57415,15305.6381,29244.0115,36767.98671,8753.051034,27862.23188,57951.92637,57951.92637
Americas,Cash Discount,Corporate Store,Budget version 1,Department Store,27497.3553,35252.42721,18433.38823,24526.69318,31173.35666,29039.93102,30970.85847,41258.31431,33325.34979,25124.00912,26005.47808,26842.67102
Americas,Cash Discount,Corporate Store,Budget version 1,Direct Marketing,555.9494272,2312.138453,844.4731267,3544.853018,1061.580922,4724.501767,2853.017167,2627.154517,1003.246272,385.7169628,4166.824638,542.3256716
Americas,Cash Discount,Corporate Store,Budget version 1,Equipment Rental Store,3355.075925,1598.335429,2698.713546,5728.881471,432.0408244,1002.154158,9980.40039,2844.71185,2982.100156,2032.724143,2746.554382,1757.186322
Americas,Cash Discount,Corporate Store,Budget version 1,Eyewear Store,3246.278053,3926.817689,2367.245622,5205.701919,2702.40108,4302.003046,3410.857523,2313.169644,4486.957627,4871.147102,1325.702163,3505.470026
Americas,Cash Discount,Corporate Store,Budget version 1,Golf Shop,11775.05224,13869.45467,13814.44127,19294.9934,9348.631467,21224.9217,12620.80056,10241.84314,15641.47067,14091.68298,16918.37639,11787.43971
Americas,Cash Discount,Corporate Store,Budget version 1,Outdoors Shop,37819.10454,54829.43152,41522.98553,56290.78971,53877.62165,72742.80621,38097.03645,56342.6394,63309.42108,56127.16808,49444.40655,64455.79957
Americas,Cash Discount,Corporate Store,Budget version 1,Sports Store,57732.71628,45682.47308,46885.31428,44047.34618,46623.5987,37099.95413,53198.97721,36535.91667,28620.84008,44435.64248,35087.40674,38184.7134
Americas,Cash Discount,Corporate Store,Budget version 1,Warehouse Store,8358.836879,9633.016858,7007.992388,14694.72515,15376.37378,8157.666772,15586.60275,19596.76437,4665.2399,14850.13573,15846.64122,13715.28205
Americas,Cash Discount,Corporate Store,Budget version 2,Department Store,31489.80433,40370.8656,21109.80428,28087.82011,35699.53876,33256.35268,35467.63907,47248.77103,38163.98823,28771.8627,29781.31559,30740.06387
Americas,Cash Discount,Corporate Store,Budget version 2,Direct Marketing,636.6699084,2647.846918,967.0854972,4059.544153,1215.716026,5410.470738,3267.257937,3008.601402,1148.91154,441.7207238,4771.822275,621.0680662
Americas,Cash Discount,Corporate Store,Budget version 2,Equipment Rental Store,3842.212578,1830.404029,3090.550367,6560.680276,494.7705288,1147.660856,11429.49393,3257.746738,3415.082992,2327.863346,3145.337401,2012.319107
Americas,Cash Discount,Corporate Store,Budget version 2,Eyewear Store,3717.617916,4496.967774,2710.955312,5961.53823,3094.773309,4926.627767,3906.093326,2649.027832,5138.436631,5578.408084,1518.186068,4014.44299
Americas,Cash Discount,Corporate Store,Budget version 2,Golf Shop,13484.71833,15883.21528,15820.21426,22096.50929,10705.99599,24306.65146,14453.26417,11728.89658,17912.51724,16137.70979,19374.82192,13498.90438
Americas,Cash Discount,Corporate Store,Budget version 2,Outdoors Shop,43310.20889,62790.33207,47551.87091,64463.87059,61700.32517,83304.61999,43628.49483,64523.24854,72501.56462,64276.49209,56623.43417,73814.39031
Americas,Cash Discount,Corporate Store,Budget version 2,Sports Store,66115.15614,52315.29079,53692.77724,50442.7534,53393.06214,42486.6422,60923.14568,41840.70993,32776.41228,50887.42796,40181.88515,43728.90194
Americas,Cash Discount,Corporate Store,Budget version 2,Warehouse Store,9572.489241,11031.67242,8025.510332,16828.31001,17608.92989,9342.110455,17849.68283,22442.09557,5342.604407,17006.28527,18147.47731,15706.65773
Americas,Volume Discount,Franchise Store,Budget version 1,Department Store,74551.71968,95577.52166,49977.19881,66497.56441,84518.21355,78734.00092,83969.19391,111860.8771,90352.76697,68117.02672,781567.371,781567.371
Americas,Volume Discount,Franchise Store,Budget version 1,Direct Marketing,1507.308081,6268.744611,2289.562874,9610.920239,2878.192556,12809.22211,7735.192487,7122.826359,2720.033766,1045.768314,31262.69484,31262.69484
