Products,Budget version,Month,Freight,Other Sales Revenue,Other Sales Cost of Goods Sold,Quantity
Sleeping Bags,Budget version 2,Mar,13592.63,64826.53,28185.45,28
Sleeping Bags,Budget version 2,Apr,914.88,4363.28,1897.08,2
Sleeping Bags,Budget version 2,May,914.88,4363.28,1897.08,2
Sleeping Bags,Budget version 2,Jun,653.54,3116.71,1355.09,1
Sunscreen,Budget version 1,Jul,298.73,1424.75,619.46,1
Sunscreen,Budget version 1,Aug,214.01,1020.95,443.89,0
Sunscreen,Budget version 1,Sep,124.65,594.59,258.52,0
Sunscreen,Budget version 2,Oct,319.86,1525.28,663.17,1
Sunscreen,Budget version 2,Nov,228.94,1091.95,474.76,0
Sunscreen,Budget version 2,Dec,133.27,635.51,276.31,0
Tents,Budget version 1,Jan,39010.28,186048.78,80890.77,81
Tents,Budget version 1,Feb,17288.66,82453.41,35849.31,36
Tents,Budget version 1,Mar,31474.11,150107.54,65264.15,65
Tents,Budget version 1,Apr,5984.57,28541.55,12409.37,12
Tents,Budget version 1,May,14407.2,68711.25,29874.46,30
Tents,Budget version 1,Jun,3989.67,19027.73,8272.93,8
Tents,Budget version 1,Jul,17731.95,84567.64,36768.54,37
Tents,Budget version 2,Aug,41778.6,199251.87,86631.25,87
Tents,Budget version 2,Sep,18492.21,88193.44,38344.97,38
Tents,Budget version 2,Oct,33674.05,160599.16,69825.72,70
Tents,Budget version 2,Nov,6392.35,30486.67,13255.07,13
Tents,Budget version 2,Dec,15410.12,73494.58,31954.17,32
Tents,Budget version 2,Jan,4223.48,20142.91,8757.79,9
Tents,Budget version 2,Feb,18948.77,90371.04,39291.76,39
Tools,Budget version 1,Mar,931.92,4444.35,1932.33,2
Tools,Budget version 2,Apr,1002.15,4779.69,2078.13,2
Watches,Budget version 1,May,1276.88,6089.41,2647.57,3
Watches,Budget version 1,Jun,1466,6991.58,3039.82,3
Watches,Budget version 1,Jul,1797.03,8570.39,3726.26,4
Watches,Budget version 2,Aug,1363.81,6504.5,2828.04,3
Watches,Budget version 2,Sep,1558.69,7433.65,3232.02,3
Watches,Budget version 2,Oct,1924,9175.93,3989.53,4
Woods,Budget version 1,Nov,5102.64,24335.65,10580.72,11
Woods,Budget version 2,Dec,5494.61,26205.12,11393.53,11
Golf Accessories,Budget version 1,Jan,385.66,1839.17,799.64,1
Golf Accessories,Budget version 2,Feb,412.43,1967.24,855.32,1
Irons,Budget version 1,Mar,292.76,1396.33,607.1,1
Irons,Budget version 2,Apr,301.61,1438.24,625.32,1
Binoculars,Budget version 1,May,564.5,2692.23,1170.53,1
Binoculars,Budget version 1,Jun,1129,5384.56,2341.11,2
Binoculars,Budget version 1,Jul,620.91,2961.54,1287.63,1
Binoculars,Budget version 2,Aug,610.51,2911.66,1265.94,1
Binoculars,Budget version 2,Sep,1221.02,5823.31,2531.87,3
Binoculars,Budget version 2,Oct,668.69,3188.93,1386.49,1
Climbing Accessories,Budget version 1,Nov,422.38,2014.69,875.95,1
Climbing Accessories,Budget version 1,Dec,719.67,3432.36,1492.33,1
Climbing Accessories,Budget version 1,Jan,2049.53,9774.83,4249.93,4
Climbing Accessories,Budget version 1,Feb,516.28,2462.4,1070.61,1
Climbing Accessories,Budget version 1,Mar,563.29,2686.25,1167.93,1
Climbing Accessories,Budget version 1,Apr,328.59,1566.98,681.3,1
Climbing Accessories,Budget version 1,May,844.87,4029.38,1751.9,2
Climbing Accessories,Budget version 2,Jun,451.25,2151.94,935.63,1
Climbing Accessories,Budget version 2,Jul,773.54,3689.06,1603.94,2
Climbing Accessories,Budget version 2,Aug,2199.72,10490.85,4561.24,5
Climbing Accessories,Budget version 2,Sep,555.99,2651.52,1152.83,1
Climbing Accessories,Budget version 2,Oct,604.32,2882.13,1253.1,1
Climbing Accessories,Budget version 2,Nov,354.58,1690.85,735.15,1
Climbing Accessories,Budget version 2,Dec,902.39,4303.89,1871.26,2
Cooking Gear,Budget version 1,Jan,413.87,1973.55,858.07,1
Cooking Gear,Budget version 1,Feb,1950.87,9304.11,4045.27,4
Cooking Gear,Budget version 1,Mar,1872.02,8928.19,3881.82,4
Cooking Gear,Budget version 1,Apr,807.93,3853.19,1675.3,2
Cooking Gear,Budget version 2,May,446.49,2129.6,925.91,1
Cooking Gear,Budget version 2,Jun,2100.74,10018.81,4356,4
Cooking Gear,Budget version 2,Jul,1999.21,9534.83,4145.58,4
Cooking Gear,Budget version 2,Aug,862.57,4113.99,1788.69,2
Eyewear,Budget version 1,Sep,1560.23,7441.06,3235.24,3
Eyewear,Budget version 2,Oct,1682.34,8023.59,3488.52,3
First Aid,Budget version 1,Nov,50.21,239.45,104.11,0
First Aid,Budget version 1,Dec,345.85,1649.6,717.22,1
First Aid,Budget version 1,Jan,150.64,718.35,312.33,0
First Aid,Budget version 2,Feb,54.64,260.35,113.2,0
First Aid,Budget version 2,Mar,370.62,1767.61,768.53,1
First Aid,Budget version 2,Apr,160.92,767.34,333.63,0
Insect Repellents,Budget version 1,May,293.75,1400.97,609.12,1
Insect Repellents,Budget version 1,Jun,207.71,990.64,430.71,0
Insect Repellents,Budget version 1,Jul,495.49,2363.3,1027.52,1
Insect Repellents,Budget version 2,Aug,314.77,1501.28,652.73,1
Insect Repellents,Budget version 2,Sep,223.08,1064.08,462.64,0
Insect Repellents,Budget version 2,Oct,530.22,2528.87,1099.51,1
Knives,Budget version 1,Nov,793.33,3783.63,1645.06,2
Knives,Budget version 1,Dec,601,2866.31,1246.22,1
Knives,Budget version 1,Jan,1514.56,7223.18,3140.51,3
Knives,Budget version 2,Feb,854.27,4074.17,1771.38,2
Knives,Budget version 2,Mar,643.8,3070.48,1334.99,1
Knives,Budget version 2,Apr,1621.84,7735.14,3363.1,3
Lanterns,Budget version 1,May,2803.93,13372.54,5814.15,6
Lanterns,Budget version 1,Jun,483.88,2308,1003.48,1
Lanterns,Budget version 1,Jul,1309.39,6245.03,2715.23,3
Lanterns,Budget version 1,Aug,2405.44,11471.87,4987.77,5
Lanterns,Budget version 1,Sep,597.79,2851.05,1239.59,1
Lanterns,Budget version 2,Oct,3005.33,14333.1,6231.78,6
Lanterns,Budget version 2,Nov,520.48,2482.09,1079.17,1
Lanterns,Budget version 2,Dec,1400.09,6677.14,2903.1,3
Lanterns,Budget version 2,Jan,2580.19,12305.47,5350.2,5
Lanterns,Budget version 2,Feb,637.72,3041.39,1322.34,1
Navigation,Budget version 1,Mar,1823.79,8698.03,3781.75,4
Navigation,Budget version 1,Apr,325.72,1553.27,675.33,1
Navigation,Budget version 1,May,1302.65,6212.84,2701.23,3
Navigation,Budget version 1,Jun,2605.4,12425.69,5402.47,5
Navigation,Budget version 1,Jul,1042.18,4970.25,2160.98,2
Navigation,Budget version 1,Aug,1367.79,6523.52,2836.31,3
Navigation,Budget version 2,Sep,1945.56,9278.9,4034.3,4
Navigation,Budget version 2,Oct,335.45,1599.83,695.58,1
Navigation,Budget version 2,Nov,1375.31,6559.24,2851.84,3
Navigation,Budget version 2,Dec,2817.76,13438.45,5842.8,6
Navigation,Budget version 2,Jan,1107,5279.38,2295.38,2
Navigation,Budget version 2,Feb,1475.96,7039.14,3060.5,3
Packs,Budget version 1,Mar,857.26,4088.66,1777.68,2
Packs,Budget version 1,Apr,857.26,4088.66,1777.68,2
Packs,Budget version 1,May,1285.95,6132.88,2666.47,3
Packs,Budget version 1,Jun,2314.64,11039.21,4799.66,5
Packs,Budget version 1,Jul,6343.91,30255.74,13154.67,13
Packs,Budget version 1,Aug,3857.84,18398.75,7999.46,8
Packs,Budget version 2,Sep,927.16,4421.79,1922.52,2
Packs,Budget version 2,Oct,927.16,4421.79,1922.52,2
Packs,Budget version 2,Nov,1368.68,6527.5,2838.04,3
Packs,Budget version 2,Dec,2472.46,11791.51,5126.74,5
Packs,Budget version 2,Jan,6799.14,32426.81,14098.61,14
Packs,Budget version 2,Feb,4150.15,19792.98,8605.64,9
Rope,Budget version 1,Mar,2009.16,9582.05,4166.11,4
Rope,Budget version 1,Apr,8467.09,40381.72,17557.27,18
Rope,Budget version 1,May,2870.18,13688.74,5951.63,6
Rope,Budget version 1,Jun,1722.15,8213.27,3570.99,4
Rope,Budget version 1,Jul,1148.14,5475.47,2380.64,2
Rope,Budget version 1,Aug,8180.09,39012.82,16962.1,17
Rope,Budget version 2,Sep,2143.32,10222.09,4444.39,4
Rope,Budget version 2,Oct,9090.66,43355.53,18850.23,19
Rope,Budget version 2,Nov,3104.1,14804.36,6436.68,6
Rope,Budget version 2,Dec,1847.68,8812.06,3831.33,4
Rope,Budget version 2,Jan,1256.42,5992.2,2605.3,3
Rope,Budget version 2,Feb,8795.02,41945.6,18237.22,18
Safety,Budget version 1,Mar,283.36,1351.2,587.48,1
Safety,Budget version 1,Apr,318.75,1520.09,660.91,1
Safety,Budget version 2,May,310.01,1478.61,642.87,1
Safety,Budget version 2,Jun,346.51,1652.59,718.52,1
Sleeping Bags,Budget version 1,Jul,2030.28,9682.81,4209.92,4
Sleeping Bags,Budget version 1,Aug,659.84,3146.9,1368.22,1
Sleeping Bags,Budget version 1,Sep,710.61,3389.01,1473.48,1
Sleeping Bags,Budget version 1,Oct,609.07,2904.8,1262.96,1
Sleeping Bags,Budget version 1,Nov,862.9,4115.2,1789.22,2
Sleeping Bags,Budget version 1,Dec,10709.62,51076.85,22207.33,22
Sleeping Bags,Budget version 2,Jan,2169.64,10347.29,4498.82,4
Sleeping Bags,Budget version 2,Feb,705.74,3366,1463.48,1
Sleeping Bags,Budget version 2,Mar,758.05,3615.29,1571.87,2
Sleeping Bags,Budget version 2,Apr,653.54,3116.71,1355.09,1
Sleeping Bags,Budget version 2,May,940.98,4488.04,1951.32,2
Sleeping Bags,Budget version 2,Jun,11475.3,54728.53,23795.01,24
Sunscreen,Budget version 1,Jul,101.2,482.44,209.76,0
Sunscreen,Budget version 1,Aug,47.01,224.41,97.57,0
Sunscreen,Budget version 2,Sep,107.84,514.18,223.56,0
Sunscreen,Budget version 2,Oct,50.88,242.66,105.5,0
Tents,Budget version 1,Nov,1994.89,9513.81,4136.44,4
Tents,Budget version 1,Dec,4211.32,20084.85,8732.54,9
Tents,Budget version 1,Jan,7092.78,33827.01,14707.4,15
Tents,Budget version 1,Feb,62061.75,295986.72,128689.88,129
Tents,Budget version 1,Mar,23716.4,113109.18,49177.9,49
Tents,Budget version 2,Apr,2168.87,10343.64,4497.23,4
Tents,Budget version 2,May,4566.01,21776.14,9467.89,9
Tents,Budget version 2,Jun,7647.99,36475.11,15858.74,16
Tents,Budget version 2,Jul,66434.88,316843.12,137757.88,138
Tents,Budget version 2,Aug,25455.25,121402.08,52783.51,53
Tools,Budget version 1,Sep,1589.65,7581.63,3296.36,3
Tools,Budget version 1,Oct,657.85,3137.17,1363.99,1
Tools,Budget version 1,Nov,1205.98,5751.53,2500.67,3
Tools,Budget version 1,Dec,219.32,1045.72,454.66,0
Tools,Budget version 1,Jan,1096.38,5228.73,2273.36,2
Tools,Budget version 1,Feb,1425.19,6797.25,2955.33,3
Tools,Budget version 2,Mar,1693.84,8078.33,3512.32,4
Tools,Budget version 2,Apr,705.74,3366,1463.48,1
Tools,Budget version 2,May,1298.67,6193.38,2692.77,3
Tools,Budget version 2,Jun,240,1144.38,497.56,0
Tools,Budget version 2,Jul,1185.74,5654.87,2458.64,2
Tools,Budget version 2,Aug,1524.51,7270.51,3161.09,3
Watches,Budget version 1,Sep,993.08,4736.22,2059.23,2
Watches,Budget version 1,Oct,756.61,3608.55,1568.93,2
Watches,Budget version 1,Nov,1182.2,5638.39,2451.47,2
Watches,Budget version 2,Dec,1071.6,5110.6,2222,2
Watches,Budget version 2,Jan,803.73,3832.95,1666.5,2
Watches,Budget version 2,Feb,1266.37,6039.87,2626.03,3
Binoculars,Budget version 1,Mar,4064.44,19384.31,8427.96,8
Binoculars,Budget version 2,Apr,4360.85,20797.67,9042.47,9
Climbing Accessories,Budget version 1,May,1408.05,6715.52,2919.79,3
Climbing Accessories,Budget version 2,Jun,1506.7,7186.01,3124.35,3
Cooking Gear,Budget version 1,Jul,571.47,2725.41,1184.96,1
Cooking Gear,Budget version 2,Aug,608.85,2904.02,1262.62,1
Eyewear,Budget version 1,Sep,1413.91,6743.5,2931.96,3
Eyewear,Budget version 2,Oct,1506.59,7185.24,3124.02,3
First Aid,Budget version 1,Nov,27.87,133.05,57.85,0
First Aid,Budget version 2,Dec,28.76,137.03,59.58,0
Golf Accessories,Budget version 1,Jan,682.29,3253.85,1414.72,1
Golf Accessories,Budget version 1,Feb,622.9,2970.94,1291.71,1
Golf Accessories,Budget version 2,Mar,733.28,3497.17,1520.51,2
Golf Accessories,Budget version 2,Apr,672.23,3205.74,1393.8,1
Insect Repellents,Budget version 1,May,272.96,1301.87,566.03,1
Insect Repellents,Budget version 1,Jun,234.36,1117.94,486.06,0
Insect Repellents,Budget version 2,Jul,291.87,1392.01,605.22,1
Insect Repellents,Budget version 2,Aug,250.62,1195.25,519.67,1
Irons,Budget version 1,Sep,2927.8,13963.14,6070.93,6
Irons,Budget version 1,Oct,1171.14,5585.3,2428.39,2
Irons,Budget version 2,Nov,3166.37,15101.1,6565.7,7
Irons,Budget version 2,Dec,1206.2,5752.86,2501.24,3
Knives,Budget version 1,Jan,1682.78,8025.8,3489.48,3
Knives,Budget version 2,Feb,1807.54,8620.83,3748.19,4
Lanterns,Budget version 1,Mar,5977.93,28510.03,12395.67,12
Lanterns,Budget version 1,Apr,185.03,882.48,383.69,0
Lanterns,Budget version 1,May,185.03,882.48,383.69,0
Lanterns,Budget version 1,Jun,2277.25,10860.92,4722.14,5
Lanterns,Budget version 2,Jul,6399.09,30518.96,13269.11,13
Lanterns,Budget version 2,Aug,197.86,943.86,410.37,0
Lanterns,Budget version 2,Sep,197.86,943.86,410.37,0
Lanterns,Budget version 2,Oct,2440.94,11641.2,5061.39,5
Packs,Budget version 1,Nov,1457.38,6950.66,3022.03,3
Packs,Budget version 1,Dec,4286.41,20443.08,8888.3,9
Packs,Budget version 2,Jan,1545.3,7369.72,3204.23,3
Packs,Budget version 2,Feb,4591.67,21898.58,9521.12,10
Putters,Budget version 1,Mar,1645.51,7847.51,3411.96,3
Putters,Budget version 2,Apr,1753.23,8361.69,3635.52,4
Rope,Budget version 1,May,4879.34,23270.79,10117.73,10
Rope,Budget version 2,Jun,5247.42,25026.35,10881.02,11
Safety,Budget version 1,Jul,531.21,2533.4,1101.48,1
Safety,Budget version 2,Aug,565.39,2696.43,1172.36,1
Sleeping Bags,Budget version 1,Sep,2639.36,12587.72,5472.92,5
Sleeping Bags,Budget version 1,Oct,710.61,3389.01,1473.48,1
Sleeping Bags,Budget version 2,Nov,2823.07,13464,5853.91,6
Sleeping Bags,Budget version 2,Dec,758.05,3615.29,1571.87,2
Sunscreen,Budget version 1,Jan,75.32,359.01,156.09,0
Sunscreen,Budget version 2,Feb,81.18,387.1,168.3,0
Tents,Budget version 1,Mar,19505.08,93024.33,40445.36,40
Tents,Budget version 1,Apr,14850.48,70825.36,30793.63,31
Tents,Budget version 1,May,5097.89,24313.2,10570.96,11
Tents,Budget version 1,Jun,36350.46,173363.62,75375.49,75
Tents,Budget version 2,Jul,20889.35,99625.94,43315.63,43
Tents,Budget version 2,Aug,15980.93,76216.56,33137.63,33
Tents,Budget version 2,Sep,5479.12,26131.35,11361.46,11
Tents,Budget version 2,Oct,38924.9,185641.77,80713.81,81
Tools,Budget version 1,Nov,2247.5,10718.8,4660.35,5
Tools,Budget version 2,Dec,2413.73,11511.58,5005.03,5
Watches,Budget version 1,Jan,1797.03,8570.39,3726.26,4
Watches,Budget version 2,Feb,1924,9175.93,3989.53,4
Woods,Budget version 1,Mar,19482.74,92917.94,40399.1,40
Woods,Budget version 1,Apr,8813.6,42034.3,18275.78,18
Woods,Budget version 2,May,21022.85,100262.88,43592.56,44
Woods,Budget version 2,Jun,9555.84,45574.06,19814.81,20
Binoculars,Budget version 1,Jul,846.75,4038.34,1755.8,2
Binoculars,Budget version 2,Aug,901.28,4298.25,1868.8,2
Cooking Gear,Budget version 1,Sep,137.92,657.85,286.02,0
Cooking Gear,Budget version 1,Oct,236.46,1127.79,490.34,0
Cooking Gear,Budget version 2,Nov,152.19,725.98,315.64,0
Cooking Gear,Budget version 2,Dec,253.72,1209.96,526.07,1
First Aid,Budget version 1,Jan,55.74,266.1,115.7,0
First Aid,Budget version 2,Feb,60.39,287.78,125.12,0
Irons,Budget version 1,Mar,2927.8,13963.14,6070.93,6
Irons,Budget version 2,Apr,3166.37,15101.1,6565.7,7
Knives,Budget version 1,May,865.45,4127.48,1794.56,2
Knives,Budget version 1,Jun,1105.89,5274.07,2293.07,2
Knives,Budget version 2,Jul,928.6,4428.53,1925.45,2
Knives,Budget version 2,Aug,1188.51,5668.47,2464.55,2
Lanterns,Budget version 1,Sep,526.68,2511.62,1092.01,1
Lanterns,Budget version 1,Oct,398.49,1900.66,826.37,1
Lanterns,Budget version 2,Nov,564.39,2691.78,1170.34,1
Lanterns,Budget version 2,Dec,425.15,2027.63,881.58,1
Packs,Budget version 1,Jan,1628.81,7768.32,3377.53,3
Packs,Budget version 1,Feb,2143.21,10221.54,4444.15,4
Packs,Budget version 1,Mar,1886.06,8994.99,3910.87,4
Packs,Budget version 2,Apr,1766.06,8422.52,3661.97,4
Packs,Budget version 2,May,2295.83,10949.29,4760.56,5
Packs,Budget version 2,Jun,2030.95,9685.91,4211.27,4
Putters,Budget version 1,Jul,2212.88,10553.67,4588.55,5
Putters,Budget version 2,Aug,2396.15,11427.63,4968.53,5
Sleeping Bags,Budget version 1,Sep,1167.38,5567.6,2420.7,2
Sleeping Bags,Budget version 2,Oct,1254.76,5984.01,2601.74,3
Tents,Budget version 1,Nov,3546.39,16913.51,7353.7,7
Tents,Budget version 1,Dec,1994.89,9513.81,4136.44,4
Tents,Budget version 1,Jan,2659.82,12685.16,5515.29,6
Tents,Budget version 2,Feb,3766.93,17965.31,7811,8
Tents,Budget version 2,Mar,2168.87,10343.64,4497.23,4
Tents,Budget version 2,Apr,2853.7,13610.1,5917.43,6
Binoculars,Budget version 1,May,6030.68,28760.82,12504.7,13
Binoculars,Budget version 1,Jun,10888.36,51929.45,22578.02,23
Binoculars,Budget version 2,Jul,6470.13,30858.02,13416.53,13
Binoculars,Budget version 2,Aug,11646.51,55544.57,24149.81,24
Cooking Gear,Budget version 1,Sep,1344.96,6414.34,2788.84,3
Cooking Gear,Budget version 1,Oct,818.53,3904.27,1697.51,2
Cooking Gear,Budget version 2,Nov,1445.39,6894.17,2997.47,3
Cooking Gear,Budget version 2,Dec,873.34,4165.19,1810.95,2
Eyewear,Budget version 1,Jan,7523.66,35881.78,15600.77,16
Eyewear,Budget version 1,Feb,14468.37,69003.07,30001.33,30
Eyewear,Budget version 1,Mar,2893.74,13800.48,6000.21,6
Eyewear,Budget version 2,Apr,8047.46,38379.71,16686.83,17
Eyewear,Budget version 2,May,15424.09,73560.78,31982.95,32
Eyewear,Budget version 2,Jun,3129.39,14925.55,6489.37,6
First Aid,Budget version 1,Jul,298.01,1421.11,617.87,1
First Aid,Budget version 2,Aug,315.4,1504.47,654.12,1
Golf Accessories,Budget version 1,Sep,352.16,1679.4,730.17,1
Golf Accessories,Budget version 2,Oct,362.66,1729.61,752,1
Insect Repellents,Budget version 1,Nov,378.74,1805.76,785.11,1
Insect Repellents,Budget version 1,Dec,361.02,1721.74,748.58,1
Insect Repellents,Budget version 2,Jan,403.69,1924.89,836.91,1
Insect Repellents,Budget version 2,Feb,385.31,1838.25,799.24,1
Knives,Budget version 1,Mar,1926.21,9186.32,3994.05,4
Knives,Budget version 1,Apr,4565.59,21774.76,9467.29,9
Knives,Budget version 1,May,2211.41,10547.04,4585.67,5
Knives,Budget version 2,Jun,2057.49,9812.2,4266.17,4
Knives,Budget version 2,Jul,4886.24,23303.84,10132.1,10
Knives,Budget version 2,Aug,2351.22,11213.94,4875.63,5
Lanterns,Budget version 1,Sep,5195.08,24776.15,10772.24,11
Lanterns,Budget version 2,Oct,5568.24,26556.96,11546.5,12
Navigation,Budget version 1,Nov,14689.58,70058.23,30460.1,30
Navigation,Budget version 2,Dec,15827.12,75483.05,32818.72,33
Packs,Budget version 1,Jan,6105.5,29118.56,12660.24,13
Packs,Budget version 1,Feb,2543.88,12132.9,5275.17,5
Packs,Budget version 2,Mar,6550.87,31241.69,13583.34,14
Packs,Budget version 2,Apr,2751.3,13121.44,5704.97,6
Putters,Budget version 1,May,2525.5,12045.27,5237.07,5
Putters,Budget version 2,Jun,2687.96,12820.15,5573.98,6
Sleeping Bags,Budget version 1,Jul,2560.62,12211.67,5309.42,5
Sleeping Bags,Budget version 2,Aug,2714.87,12947.82,5629.49,6
Sunscreen,Budget version 1,Sep,1584.55,7557.13,3285.71,3
Sunscreen,Budget version 2,Oct,1696.79,8092.43,3518.45,4
Tents,Budget version 1,Nov,15127.72,72148.21,31368.79,31
Tents,Budget version 1,Dec,11839.16,56463.86,24549.5,25
Tents,Budget version 2,Jan,16259.03,77543.49,33714.56,34
Tents,Budget version 2,Feb,12532.97,59773.1,25988.3,26
Tools,Budget version 1,Mar,1382.71,6594.19,2867.04,3
Tools,Budget version 1,Apr,650.82,3103.13,1349.19,1
Tools,Budget version 2,May,1466.07,6991.97,3039.99,3
Tools,Budget version 2,Jun,712.19,3395.89,1476.47,1
Watches,Budget version 1,Jul,4069.68,19408.76,8438.59,8
Watches,Budget version 1,Aug,7718.28,36809.6,16004.17,16
Watches,Budget version 2,Sep,4336.18,20680.21,8991.4,9
Watches,Budget version 2,Oct,8238.8,39292.43,17083.67,17
Woods,Budget version 1,Nov,9635.62,45954.89,19980.39,20
Woods,Budget version 1,Dec,1376.47,6564.98,2854.34,3
Woods,Budget version 2,Jan,10633.68,50714.45,22049.76,22
Woods,Budget version 2,Feb,1417.82,6761.9,2939.96,3
Binoculars,Budget version 1,Mar,10218.51,48733.76,21188.59,21
Binoculars,Budget version 2,Apr,10956.3,52253.05,22718.72,23
Eyewear,Budget version 1,May,2170.39,10350.44,4500.19,5
Eyewear,Budget version 2,Jun,2309.87,11016.36,4789.72,5
Knives,Budget version 1,Jul,16764.46,79953.79,34762.52,35
Knives,Budget version 2,Aug,17928.91,85506.27,37176.64,37
Watches,Budget version 1,Sep,3789.07,18070.04,7856.54,8
Watches,Budget version 2,Oct,4047.03,19301.77,8392.07,8
Golf Accessories,Budget version 1,Nov,3345.01,15953.15,6936.15,7
Golf Accessories,Budget version 1,Dec,175.92,839.54,365.02,0
Golf Accessories,Budget version 1,Jan,3609.22,17212.45,7483.67,7
Golf Accessories,Budget version 2,Feb,3581.32,17080.18,7426.17,7
Golf Accessories,Budget version 2,Mar,181.49,864.81,376,0
Golf Accessories,Budget version 2,Apr,3853.4,18377.56,7990.24,8
